published,symbol,source,keyword,title,url,snippet,feed
2026-05-20 13:00:00,FRO,globenewswire.com,public safety,"Verizon champions the innovators of tomorrow, names winner of Verizon Frontline App Developer Challenge",https://www.globenewswire.com/news-release/2026/05/20/3298787/0/en/Verizon-champions-the-innovators-of-tomorrow-names-winner-of-Verizon-Frontline-App-Developer-Challenge.html,"NEW YORK, May 20, 2026 (GLOBE NEWSWIRE) -- Continuing a decades-long commitment to driving innovation in public safety, emergency response and community resilience, Verizon today announced the winner of its first-ever Verizon Frontline App Developer Challenge.",stock
2026-05-20 12:40:29,UNTC,zacks.com,body camera,Strength in Connected Devices Unit Drives Axon: Can the Momentum Sustain?,https://www.zacks.com/stock/news/2924219/strength-in-connected-devices-unit-drives-axon-can-the-momentum-sustain?cid=CS-STOCKNEWSAPI-FT-analyst_blog|quick_take-2924219,"AXON's Connected Devices unit is surging on strong TASER, body camera and counter-drone demand, fueling robust revenue growth.",stock
2026-05-20 12:08:29,TSLA,theguardian.com,police,Tesla Cybertruck pulled from Texas lake after attempting ‘wade mode',https://www.theguardian.com/technology/2026/may/20/tesla-cybertruck-texas-lake-wade-mode,"Police said the vehicle became disabled and took on water, prompting the driver and passengers to abandon it before calling for help",stock
2026-05-20 03:54:29,BNO,reuters.com,police,"Indonesia police name palm oil group Musim Mas as criminal suspects over environmental breaches, government says",https://www.reuters.com/business/environment/indonesia-police-name-palm-oil-group-musim-mas-criminal-suspects-over-2026-05-20/,"Indonesian police in Riau province have named Singapore-based palm oil group ​Musim Mas as a criminal ‌corporate suspect over alleged environmental violations, they said in a statement published ​on the provincial government's website.",stock
2026-05-19 08:30:00,DPRO,globenewswire.com,public safety,"Draganfly Launches Draganfly Blitz™ Advanced Optical Payload Product Line to Address Growing Demand for Best-in-Class, NDAA-Compliant Integrated Gimbal Systems",https://www.globenewswire.com/news-release/2026/05/19/3297492/0/en/Draganfly-Launches-Draganfly-Blitz-Advanced-Optical-Payload-Product-Line-to-Address-Growing-Demand-for-Best-in-Class-NDAA-Compliant-Integrated-Gimbal-Systems.html,"New payload ecosystem positions Draganfly as a next-generation North American provider of high-performance drone optics for defense, public safety, and critical infrastructure markets",press_release
2026-05-19 05:00:00,CGNT,businesswire.com,law enforcement,New Cognyte Survey: 69% of European Law Enforcement Report Stronger Crime-Terror Ties,https://www.businesswire.com/news/home/20260519418593/en/New-Cognyte-Survey-69-of-European-Law-Enforcement-Report-Stronger-Crime-Terror-Ties/,"HERZLIYA, Israel--(BUSINESS WIRE)--Cognyte survey of European law enforcement shows the fast-evolving threat landscape is driving LEA caseloads and case complexity to new extremes.",press_release
